"txid","refid","time","type","aclass","asset","amount","fee","balance"
"L3QDB4-YMB34-EZS6WS","AGBCQBB-EPKNWD-VWNLA3","2020-04-15 11:32:53","withdrawal","currency","XXBT",-0.0205900000,0.0005000000,0.0000030220
"","AMBNB2R-UQWZC4-T6WPS5","2020-04-15 11:34:11","withdrawal","currency","XLTC",-1.9497200000,0.0010000000,""
"","A2B4S3I-OPSTON-3PNSMC","2020-04-15 11:36:31","withdrawal","currency","XETH",-0.4609300000,0.0050000000,""
"LPKEZV-SQMAE-GMUKQJ","A2B4S3I-OPSTON-3PNSMC","2020-04-15 11:40:07","withdrawal","currency","XETH",-0.4609300000,0.0050000000,0.0000036600
"LRPL3I-T2EM3-DXFT6J","AMBNB2R-UQWZC4-T6WPS5","2020-04-15 11:40:10","withdrawal","currency","XLTC",-1.9497200000,0.0010000000,0.0000007600
"LPCLWJ-ISU6V-LEE5DU","BMB4OIE-NTBEAD-IWPBRF","2020-04-15 12:05:43","withdrawal","currency","XTZ",-16.56820700,0.20000000,0.00000047
"LF5QER-KMFHI-US5X7L","TKXUMR-CCWI2-JRW3UO","2020-04-26 18:17:52","trade","currency","ADA",-30.90995964,0.00000000,0.04945594
"LURDEC-V366D-KWZG5B","TKXUMR-CCWI2-JRW3UO","2020-04-26 18:17:52","trade","currency","XXBT",0.0001854600,0.0000002970,0.0001881850
"L2H562-7XBKL-FC5NDT","T734FJ-Q2YZR-PLAKC7","2020-04-26 18:17:52","trade","currency","ADA",-0.04937694,0.00000000,0.00007900
"LTMD6M-FLI27-6QZKMI","T734FJ-Q2YZR-PLAKC7","2020-04-26 18:17:52","trade","currency","XXBT",0.0000002960,0.0000000000,0.0001884810
"L424S6-QYHZU-F6W7CT","TOROC6-CJR5Z-MG75KC","2020-04-26 18:17:52","trade","currency","ADA",-0.00007887,0.00000000,0.00000013
"LPOSUV-UR423-4ZPBNY","TAWYFT-CFOXH-36JHIV","2020-04-26 18:17:52","trade","currency","ADA",-0.00000013,0.00000000,0.00000000
"L3JRST-YBQRQ-VUOYLZ","T6ETEK-MYKZG-3KS3CN","2020-04-28 03:43:31","trade","currency","XXLM",-379.15335463,0.00000000,0.60664537
"L6FY6S-VFSKC-G3J4ZC","T6ETEK-MYKZG-3KS3CN","2020-04-28 03:43:31","trade","currency","XXBT",0.0034123800,0.0000054600,0.0035954010
"LPO2FG-H7M7A-5YFWSZ","T4MHYB-IOITI-X52TE4","2020-04-28 03:43:31","trade","currency","XXLM",-0.60567629,0.00000000,0.00096908
"LI47XZ-SVJM2-2OCHQD","T4MHYB-IOITI-X52TE4","2020-04-28 03:43:31","trade","currency","XXBT",0.0000054510,0.0000000090,0.0036008430
